player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8479580,100951026793,1400,35853,6,5,43,40.0,0,1,17,170,370,11.0,17.0,0,0,29.0,-8,30988,2857,2008
8479587,16152160687,200,4865,0,0,8,8.0,0,0,2,25,53,1.0,3.0,0,0,2.0,0,4180,671,14
8479644,36342369214,468,11202,4,1,25,16.0,0,0,2,0,3,4.0,4.0,0,0,5.0,-5,11070,0,132
8479671,16152163016,144,3622,1,0,6,17.0,0,0,4,0,0,0.0,3.0,0,0,1.0,1,3622,0,0
8479675,84798862058,660,32503,4,6,60,60.0,0,0,6,4,14,21.0,20.0,0,1,17.0,-4,27469,3269,1765
8479734,10095102529,150,4197,0,0,4,2.0,0,0,2,0,0,2.0,0.0,0,0,4.0,1,3866,1,330
8479748,6057062919,162,1748,1,0,2,2.0,0,0,0,8,17,0.0,0.0,0,0,0.0,-1,1748,0,0
8479772,34323351916,391,9809,1,5,17,41.0,0,0,20,1,2,4.0,8.0,0,0,5.0,6,9743,0,66
8479933,26247267352,390,9008,0,2,16,11.0,0,0,2,3,6,4.0,2.0,0,0,6.0,4,7996,10,1002
8479944,115084165459,285,49343,7,6,98,136.0,0,0,28,7,23,20.0,21.0,1,0,30.0,6,42101,5443,1799
8479977,54513562975,594,28164,15,11,44,45.0,2,0,12,1,1,19.0,10.0,0,0,13.0,17,26645,93,1426
8479980,76722775121,2052,36670,10,1,54,69.0,1,3,32,0,0,13.0,10.0,0,0,26.0,1,34529,57,2084
8479982,4038040037,42,1249,0,0,1,0.0,0,0,0,0,0,1.0,0.0,0,0,0.0,2,1172,73,4
8479983,123160251833,1708,58148,9,2,63,120.0,0,0,30,0,0,15.0,20.0,0,1,58.0,-15,54249,2770,1129
8479985,82779836504,328,35305,0,1,45,102.0,0,0,6,0,0,5.0,31.0,0,0,45.0,-4,33376,1900,29
